# ejercicio,valor
1,[10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28]
2,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
 [1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]"
3,"[9 2 9 1 2], [8 4 5 3 6], [72  8 45  3 12]"
4,"[[0 1 2 3]
 [1 2 3 4]
 [2 3 4 5]
 [3 4 5 6]] La matriz no tiene inversa"
5,"[0.32957808 0.30211221 0.72844786 0.8759302  0.95381913 0.36540968
 0.72880075 0.50272695 0.30999996 0.64755691 0.40098597 0.05235439
 0.16997087 0.97409654 0.38474428 0.46738104 0.09145661 0.77180307
 0.1398989  0.73555367 0.16175996 0.99121045 0.5095973  0.66620504
 0.20071923 0.78849672 0.19129731 0.7436957  0.66693295 0.08272873
 0.86635891 0.39314443 0.8452559  0.33667148 0.11162955 0.82485702
 0.13810559 0.49924629 0.61518954 0.78208564 0.97848003 0.4068335
 0.51604858 0.34040951 0.10868363 0.23259451 0.63335641 0.98593448
 0.88394477 0.99844711 0.04695116 0.49626098 0.0067932  0.16423411
 0.04539314 0.08935359 0.43612381 0.39060669 0.75188779 0.88710857
 0.18501075 0.75910524 0.62672566 0.85870044 0.27213773 0.8005246
 0.40304042 0.91028288 0.52609287 0.87329441 0.65165079 0.37829096
 0.29682729 0.34066263 0.27865465 0.89371904 0.2455579  0.35066634
 0.45766576 0.85449641 0.71615552 0.4967119  0.01095549 0.35786032
 0.54842771 0.38892424 0.07825968 0.78516639 0.20444822 0.00389524
 0.74255102 0.40722297 0.51737421 0.13295956 0.97986086 0.29520916
 0.03008913 0.3423174  0.54953102 0.92349399], 0.9984471073312869, 49, 0.003895237353020886, 89"
6,"[[7]
 [7]
 [9]], [[8 1 9]], [[15  8 16]
 [15  8 16]
 [17 10 18]]"
7,"[[75 29 48 33 71]
 [60 67 37 21 82]
 [80 40 63 88 91]
 [86  3 75  5 66]
 [86 41 50 27 27]], [[67 37]
 [40 63]]"
8,[0. 0. 0. 5. 5. 5. 5. 0. 0. 0.]
9,"[[99  5 76]
 [13 47 29]
 [35 89 76]], [[35 89 76]
 [13 47 29]
 [99  5 76]]"
10,"[0.68238924 0.71726915 0.64453667 0.9837942  0.66836832 0.91731255
 0.04173573 0.91068189 0.8505636  0.83338416], [0.68238924 0.71726915 0.64453667 0.9837942  0.66836832 0.91731255
 0.91068189 0.8505636  0.83338416]"
11,"[0.53727089 0.22042396 0.32730149 0.75588773 0.7386199  0.38217777
 0.15802075 0.15927018 0.58827758 0.53364734 0.77106811 0.74651434
 0.98618093 0.14837049 0.79365607 0.69448014 0.10018352 0.04356161
 0.2314598  0.05693968 0.13424869 0.45052054 0.33496155 0.43592504
 0.47741481 0.92672191 0.19993681 0.98932035 0.32781682 0.60659998
 0.63427836 0.25564104 0.3363963  0.96008833 0.81518919 0.01102931
 0.31948139 0.53755375 0.45436626 0.67518144 0.22586069 0.24892102
 0.2455811  0.29372192 0.92118714 0.96581635 0.26853894 0.42393528
 0.96632795 0.86794145 0.72719201 0.20969061 0.58799706 0.64264762
 0.3827695  0.42312483 0.33178083 0.29261645 0.12143206 0.70005879
 0.88476107 0.01085338 0.54435604 0.04700161 0.97741581 0.04256517
 0.75872716 0.7233453  0.67941992 0.96507468 0.82023161 0.27548664
 0.413012   0.93869081 0.07877127 0.8784637  0.61910416 0.40038723
 0.98634658 0.76801816 0.07658649 0.58375959 0.70418481 0.90169199
 0.86622581 0.15642819 0.21751675 0.27781061 0.67252248 0.06234717
 0.96166726 0.39365876 0.89014854 0.06089142 0.14043541 0.17079658
 0.19409186 0.15600475 0.13667838 0.26937789], [0.90599249 0.50672621 0.02128587 0.41004266 0.66651247 0.34430693
 0.84894183 0.11938527 0.98626436 0.88249046 0.78204603 0.61656342
 0.89396982 0.15355641 0.81354457 0.54854908 0.46842561 0.58659008
 0.14511434 0.69102226 0.44810601 0.5798598  0.29307364 0.04144096
 0.23494573 0.64835696 0.81696946 0.71939185 0.3142073  0.52500657
 0.11266295 0.9122405  0.62173697 0.31758551 0.74206183 0.05742168
 0.29613923 0.21759696 0.04956013 0.95862194 0.31782799 0.8250792
 0.62077364 0.22133372 0.63489272 0.8538788  0.15975309 0.7350664
 0.95731912 0.79568994 0.16676615 0.97142234 0.14471853 0.55441579
 0.89495097 0.09966973 0.25914609 0.76859902 0.94898667 0.8202018
 0.05849676 0.76542435 0.42897334 0.9290492  0.189888   0.16924058
 0.80895982 0.07531556 0.55514565 0.73235694 0.45942702 0.67809877
 0.68540552 0.30338551 0.98462977 0.10786025 0.13821529 0.40098385
 0.44407301 0.92358839 0.35220697 0.83266    0.23122533 0.05570163
 0.85811225 0.70449409 0.58424943 0.08779296 0.49614202 0.96605487
 0.70395006 0.4410872  0.5701596  0.65117383 0.01026264 0.47634558
 0.11539608 0.50855125 0.17177616 0.34307097], D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_11.png"
12,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_12.png
13,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_13.png
14,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_14.png
15,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_15.png
16,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_16.png
17,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_17.png
18,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_18.png
19,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_19.png
20,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_20.png
21,D:\a\luisC_rivera\luisC_rivera/src/pad/actividad_2//img/punto_21.png
